Age,Gender,Income_Group,Average_Basket_Value,Discount_Available,Loyalty_Category,Month,Preferred_Item_Type_Breads,Preferred_Item_Type_Breakfast,Preferred_Item_Type_Canned,Preferred_Item_Type_Dairy,Preferred_Item_Type_Frozen Foods,Preferred_Item_Type_Fruits and Vegetables,Preferred_Item_Type_Hard Drinks,Preferred_Item_Type_Health and Hygiene,Preferred_Item_Type_Household,Preferred_Item_Type_Meat,Preferred_Item_Type_Others,Preferred_Item_Type_Seafood,Preferred_Item_Type_Snack Foods,Preferred_Item_Type_Soft Drinks,Preferred_Item_Type_Starchy Foods,Cluster
0.4932762978278402,0,2,-0.03319996585953343,0,3,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0.4932762978278402,2,3,0.5243335450970575,0,3,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
-0.22351510973451127,0,2,0.6394172014465926,0,3,12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
1.666207692020779,1,2,-0.2765600701910202,0,2,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0.6236020082937223,1,1,-1.2775711501508134,1,1,12,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
1.535881981554897,1,2,-0.4782915546829697,0,2,12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
-1.39644650392745,1,2,-0.4790461614575573,0,2,12,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0
0.4932762978278402,1,2,0.02391864105871757,0,2,12,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
-1.2009579382286268,1,1,-1.1285875277740764,0,1,12,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0
0.9494162844584275,1,2,0.5312477391882418,0,2,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
-1.6570979248592141,1,2,0.5716420675366839,0,2,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
-0.4190036754333344,0,3,0.18931775046229285,1,3,12,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
1.0145791396913686,1,2,0.37981266977880246,0,2,12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1
1.0797419949243097,0,1,-0.8507610938264082,0,1,12,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1
-1.0054693725298038,0,2,-0.23159970748189587,0,2,12,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0
-0.6144922411321575,1,2,0.438648976172826,0,3,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
0.9494162844584275,1,2,-0.6011620984536941,0,2,12,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,1
0.2977877321290171,0,1,-0.8311107495969962,0,1,12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
-0.6796550963650986,0,3,1.3780579086253473,0,3,12,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2
0.10229916643019395,0,3,1.5401445796201927,0,2,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
0.0371363111972529,0,3,2.3483740035485186,0,3,12,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
